Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10
75.165,86.91,94.44,96.15,80.265,71.4,81.255,74.05,87.345,97.73
54.885,84.35000000000001,83.97500000000001,77.025,76.98,74.455,66.905,81.43,75.45,59.480000000000004
73.03,79.54,75.36,63.92,65.19500000000001,74.16,67.13,67.83,70.12,91.19500000000001
64.205,69.675,55.0,60.11,73.05,68.36,76.58500000000001,52.660000000000004,79.925,61.675000000000004
58.65,59.54,89.02,55.15,69.44,64.455,62.655,69.72500000000001,44.695,61.72
60.535000000000004,63.050000000000004,65.31,58.03,57.81,59.945,45.1,65.135,61.81,58.93
49.59,55.865,59.93,47.480000000000004,45.655,44.695,63.370000000000005,63.01,45.56,55.655
41.77,51.65,59.65,50.565,53.230000000000004,53.24,54.555,63.45,56.08,49.945
43.785000000000004,50.08,42.465,51.875,45.03,50.095,51.78,79.075,41.755,51.88
37.395,55.995000000000005,56.305,43.74,49.46,58.47,58.685,42.505,58.09,75.825
53.055,42.885,57.61,50.195,46.695,37.99,39.095,66.745,51.46,47.005
50.915,33.625,54.84,49.635,36.525,55.870000000000005,36.445,54.925000000000004,55.32,47.33
46.255,33.31,49.730000000000004,48.795,53.800000000000004,48.29,48.28,46.825,49.195,49.485
46.815,33.26,44.64,47.095,48.185,41.08,47.255,53.505,48.980000000000004,38.09
45.71,49.545,52.065,48.24,44.145,46.475,48.410000000000004,33.945,36.14,48.925000000000004
41.675000000000004,51.175000000000004,36.980000000000004,48.745000000000005,37.115,44.2,37.51,52.120000000000005,45.99,48.660000000000004
50.475,48.46,38.855000000000004,52.980000000000004,34.225,30.41,31.95,49.425000000000004,35.54,49.39
35.56,42.075,51.585,32.865,49.735,47.59,47.71,40.075,47.005,31.13
34.925000000000004,46.18,45.69,30.36,34.795,33.795,48.585,35.39,33.415,31.54
46.56,32.83,45.605000000000004,41.63,36.145,48.855000000000004,41.63,46.65,44.015,41.605000000000004
33.83,48.025,42.725,39.38,53.660000000000004,31.470000000000002,32.62,36.505,34.585,43.2
28.535,44.555,44.2,30.185000000000002,49.255,36.095,52.42,33.665,43.215,31.5
29.855,47.475,41.375,53.765,33.845,40.305,31.305,36.2,34.305,34.525
41.910000000000004,46.565,32.730000000000004,42.945,29.675,64.53,43.655,32.230000000000004,32.785000000000004,37.29
35.33,28.21,31.625,45.6,35.5,38.88,55.735,45.84,34.660000000000004,45.415
32.955,32.87,34.705,33.185,40.03,52.515,29.585,48.425000000000004,45.49,45.275
45.375,31.87,28.885,42.660000000000004,42.29,46.160000000000004,36.575,29.885,49.625,41.59
42.305,30.365000000000002,43.535000000000004,32.185,26.19,39.155,44.855000000000004,45.92,30.14,32.55
44.245,49.36,37.08,33.295,28.885,42.975,46.975,46.565,43.445,43.145
33.245,27.585,38.965,30.02,34.96,36.11,25.345,33.18,42.54,35.555
